iter	Logloss
0	0.69135897
1	0.6891193303
2	0.6867685617
3	0.6843835978
4	0.6822199991
5	0.6800883635
6	0.6776872163
7	0.6758794302
8	0.6743402969
9	0.6728134822
10	0.671298843
11	0.6692584874
12	0.667280352
13	0.665452825
14	0.6636256103
15	0.6617455294
16	0.6599229575
17	0.6579395309
18	0.655980668
19	0.6545741585
20	0.652369415
21	0.6505221691
22	0.6485096222
23	0.6465889128
24	0.6451000253
25	0.6437625644
26	0.6422731627
27	0.6403300845
28	0.6383565817
29	0.636752209
30	0.6348883263
31	0.6336168096
32	0.6319832233
33	0.6301258187
34	0.6285914377
35	0.627021903
36	0.6252108857
37	0.6232125519
38	0.6214921548
39	0.619915974
40	0.6187368092
41	0.6175672678
42	0.6157697495
43	0.6145084197
44	0.6133667577
45	0.6120349105
46	0.6109104462
47	0.6097921773
48	0.6080447289
49	0.6063414288
50	0.604817704
51	0.6035816131
52	0.6020292637
53	0.6006478753
54	0.5992442286
55	0.5976644925
56	0.5966263436
57	0.5955965379
58	0.5939395421
59	0.5927130099
60	0.5912892387
61	0.5898572363
62	0.5885093525
63	0.5871051649
64	0.5853547569
65	0.5841388234
66	0.5822668949
67	0.5803975436
68	0.5792716293
69	0.5777871398
70	0.5764166896
71	0.5751861013
72	0.5737856395
73	0.5722527112
74	0.571098777
75	0.5695683584
76	0.5684943044
77	0.5673523169
78	0.5659407382
79	0.5647433285
80	0.5634810646
81	0.5625929306
82	0.5614802839
83	0.5600916929
84	0.5586222886
85	0.5578078453
86	0.5564486053
87	0.5551421347
88	0.5536673715
89	0.5523585494
90	0.5511746488
91	0.549923615
92	0.5482159454
93	0.5468819334
94	0.545810896
95	0.5445642365
96	0.5438201882
97	0.5424712342
98	0.5417398679
99	0.5407547947
100	0.5395353033
101	0.538467997
102	0.5371928687
103	0.5361258649
104	0.5354296637
105	0.5343208361
106	0.5334080038
107	0.5318803958
108	0.5305975935
109	0.5290885323
110	0.5280549298
111	0.5273995682
112	0.5263480489
113	0.5257031662
114	0.5248214998
115	0.5239474715
116	0.5226282058
117	0.5220044308
118	0.5208830026
119	0.5200316267
120	0.5187996107
121	0.5177365317
122	0.5161818534
123	0.5151048394
124	0.5141713783
125	0.5132928387
126	0.5122032099
127	0.5112492859
128	0.510278598
129	0.5094551058
130	0.5085658303
131	0.5079131659
132	0.5068869548
133	0.506120344
134	0.5049809653
135	0.5036964282
136	0.502605889
137	0.5017889299
138	0.5012623931
139	0.5001419105
140	0.499100383
141	0.4981781257
142	0.497355725
143	0.4968507197
144	0.4963497843
145	0.4956445521
146	0.4949173153
147	0.493975473
148	0.4928930167
149	0.4921485448
150	0.4916093764
151	0.491473773
152	0.4909186843
153	0.4901737492
154	0.489329743
155	0.4885712308
156	0.4879990477
157	0.4868795236
158	0.4861919506
159	0.485240392
