iter	Passed	Remaining
0	52	52411
1	56	28236
2	62	20696
3	67	16802
4	71	14310
5	72	12074
6	75	10705
7	76	9513
8	77	8519
9	77	7720
10	78	7063
11	80	6604
12	81	6178
13	84	5970
14	85	5642
15	88	5426
16	90	5214
17	91	4989
18	92	4763
19	92	4552
20	94	4404
21	94	4222
22	95	4068
23	97	3945
24	97	3810
25	97	3670
26	98	3557
27	99	3444
28	100	3350
29	100	3248
30	101	3166
31	101	3073
32	102	2991
33	103	2937
34	103	2867
35	104	2800
36	105	2735
37	108	2758
38	109	2706
39	111	2665
40	111	2609
41	111	2554
42	113	2529
43	114	2480
44	114	2431
45	116	2407
46	116	2364
47	117	2321
48	118	2304
49	120	2283
50	121	2256
51	122	2224
52	122	2195
53	124	2172
54	125	2161
55	126	2136
56	127	2101
57	127	2068
58	128	2048
59	129	2026
60	129	1999
61	130	1979
62	131	1956
63	132	1938
64	134	1927
65	134	1903
66	135	1885
67	136	1867
68	137	1849
69	139	1850
70	140	1832
71	140	1816
72	141	1802
73	144	1802
74	144	1783
75	146	1775
76	146	1761
77	148	1750
78	149	1742
79	150	1731
80	150	1712
81	151	1696
82	151	1678
83	153	1670
84	154	1664
85	155	1647
86	156	1638
87	156	1623
88	157	1612
89	158	1602
90	159	1591
91	160	1582
92	161	1573
93	163	1572
94	164	1564
95	165	1555
96	165	1540
97	166	1531
98	166	1517
99	167	1505
100	168	1495
101	168	1487
102	170	1482
103	171	1475
104	171	1462
105	172	1453
106	173	1446
107	175	1446
108	177	1447
109	178	1442
110	179	1439
111	180	1430
112	181	1426
113	182	1414
114	182	1404
115	182	1394
116	184	1390
117	184	1380
118	186	1377
119	187	1375
120	188	1369
121	189	1361
122	190	1357
123	192	1358
124	193	1353
125	193	1345
126	194	1339
127	195	1333
128	196	1328
129	197	1321
130	198	1319
131	200	1316
132	201	1312
133	202	1305
134	203	1306
135	205	1305
136	206	1302
137	208	1300
138	208	1291
139	211	1302
140	213	1299
141	216	1309
142	217	1302
143	217	1294
144	218	1287
145	219	1281
146	220	1279
147	221	1276
148	223	1274
149	224	1274
150	226	1270
151	226	1263
152	227	1256
153	227	1251
154	229	1253
155	230	1246
156	231	1240
157	234	1247
158	235	1244
159	236	1242
160	237	1235
161	239	1237
162	240	1236
163	241	1232
164	243	1232
165	244	1228
166	245	1224
167	247	1226
168	249	1228
169	250	1221
170	251	1218
171	252	1214
172	252	1208
173	254	1206
174	255	1202
175	255	1196
176	256	1192
177	257	1187
178	258	1184
179	259	1182
180	260	1178
181	261	1177
182	262	1173
183	263	1167
184	263	1162
185	264	1157
186	265	1154
187	267	1154
188	267	1149
189	268	1146
190	269	1143
191	270	1138
192	271	1137
193	273	1134
194	274	1131
195	276	1133
196	277	1131
197	279	1131
198	280	1129
199	281	1125
200	281	1120
201	282	1117
202	283	1114
203	284	1111
204	285	1106
205	286	1104
206	287	1101
207	289	1101
208	290	1098
209	291	1095
210	291	1091
211	293	1089
212	293	1083
213	295	1084
214	296	1081
215	296	1076
216	297	1075
217	298	1071
218	298	1066
219	300	1065
220	302	1064
221	302	1060
222	304	1061
223	305	1056
224	305	1053
225	307	1052
226	307	1048
227	308	1044
228	309	1041
229	310	1040
230	311	1036
231	312	1034
232	314	1034
233	315	1031
234	315	1028
235	316	1023
236	317	1022
237	317	1017
238	318	1015
239	319	1013
240	320	1010
241	321	1007
242	323	1006
243	324	1004
244	324	1000
245	325	996
246	326	994
247	326	990
248	327	988
249	328	986
250	330	984
251	331	983
252	332	981
253	333	979
254	334	978
255	336	976
256	336	973
257	338	972
258	339	972
259	340	969
260	342	968
261	342	965
262	343	963
263	344	961
264	345	959
265	346	954
266	347	952
267	348	950
268	349	948
269	349	945
270	350	943
271	352	942
272	353	941
273	354	940
274	355	937
275	357	936
276	357	933
277	357	929
278	358	927
279	359	924
280	360	921
281	360	918
282	362	919
283	364	917
284	365	916
285	367	916
286	368	916
287	371	917
288	372	915
289	373	913
290	374	911
291	374	909
292	375	906
293	376	903
294	376	900
295	377	898
296	378	896
297	379	893
298	380	890
299	381	889
300	383	889
301	384	889
302	385	886
303	387	886
304	389	887
305	389	884
306	390	881
307	390	878
308	391	876
309	393	875
310	394	874
311	395	872
312	396	870
313	397	868
314	398	866
315	400	865
316	402	866
317	403	865
318	405	864
319	405	861
320	406	858
321	407	857
322	407	854
323	408	852
324	409	850
325	410	847
326	410	845
327	411	843
328	412	841
329	413	839
330	413	836
331	415	835
332	415	832
333	417	831
334	418	830
335	418	827
336	419	825
337	420	823
338	421	822
339	422	819
340	423	817
341	424	816
342	427	818
343	428	816
344	429	816
345	430	813
346	431	811
347	431	808
348	431	805
349	432	803
350	433	802
351	435	802
352	436	799
353	436	797
354	437	795
355	438	792
356	438	790
357	439	787
358	440	786
359	440	783
360	441	781
361	441	778
362	442	776
363	442	773
364	443	770
365	443	768
366	444	766
367	445	764
368	445	761
369	445	759
370	445	756
371	447	754
372	447	752
373	448	751
374	449	749
375	450	747
376	450	744
377	451	743
378	452	741
379	453	740
380	453	737
381	455	736
382	457	736
383	458	735
384	460	735
385	461	733
386	461	731
387	462	729
388	464	729
389	466	729
390	467	728
391	470	729
392	471	727
393	472	726
394	473	725
395	474	723
396	474	721
397	475	719
398	476	718
399	477	715
400	478	714
401	479	712
402	479	710
403	480	708
404	480	706
405	481	704
406	482	703
407	484	703
408	485	701
409	487	702
410	489	701
411	491	700
412	492	700
413	493	698
414	494	696
415	494	694
416	495	692
417	496	690
418	497	690
419	498	688
420	500	687
421	500	685
422	501	684
423	502	682
424	503	681
425	503	678
426	504	676
427	504	674
428	506	673
429	506	671
430	507	670
431	508	667
432	509	666
433	509	664
434	510	663
435	511	661
436	511	659
437	512	657
438	513	655
439	514	654
440	515	652
441	515	650
442	516	649
443	516	646
444	517	645
445	518	644
446	519	642
447	521	642
448	522	640
449	523	639
450	525	639
451	525	636
452	526	636
453	528	635
454	529	634
455	531	633
456	533	633
457	535	633
458	536	632
459	537	630
460	537	628
461	538	626
462	538	624
463	539	623
464	540	621
465	541	620
466	542	618
467	543	617
468	544	616
469	544	614
470	545	612
471	546	611
472	546	609
473	547	608
474	548	606
475	549	605
476	550	603
477	551	602
478	553	601
479	554	601
480	556	600
481	558	599
482	559	599
483	560	597
484	561	596
485	562	594
486	564	594
487	565	593
488	565	591
489	566	589
490	567	588
491	568	586
492	568	584
493	568	582
494	569	581
495	570	580
496	572	579
497	573	578
498	573	576
499	574	574
500	575	572
501	576	571
502	577	570
503	577	568
504	578	567
505	579	566
506	580	564
507	581	563
508	583	562
509	584	561
510	585	560
511	586	559
512	588	558
